0,1,2,3,4,5,6,7
3,1,34.5,0,0,330911,7.8292,2
3,2,47,1,0,363272,7,3
2,1,62,0,0,240276,9.6875,2
3,1,27,0,0,315154,8.6625,3
3,2,22,1,1,3101298,12.2875,3
3,1,14,0,0,7538,9.225,3
3,2,30,0,0,330972,7.6292,2
2,1,26,1,1,248738,29,3
3,2,18,0,0,2657,7.2292,1
3,1,21,2,0,48871,24.15,3
3,1,,0,0,349220,7.8958,3
1,1,46,0,0,694,26,3
1,2,23,1,0,21228,82.2667,3
2,1,63,1,0,24065,26,3
1,2,47,1,0,5734,61.175,3
2,2,24,1,0,2167,27.7208,1
2,1,35,0,0,233734,12.35,2
3,1,21,0,0,2692,7.225,1
3,2,27,1,0,3101270,7.925,3
3,2,45,0,0,2696,7.225,1
1,1,55,1,0,17603,59.4,1
3,1,9,0,1,17368,3.1708,3
1,2,,0,0,17598,31.6833,3
1,1,21,0,1,17597,61.3792,1
1,2,48,1,3,17608,262.375,1
3,1,50,1,0,3337,14.5,3
1,2,22,0,1,113509,61.9792,1
3,1,22.5,0,0,2698,7.225,1
1,1,41,0,0,113054,30.5,3
3,1,,2,0,2662,21.6792,1
2,1,50,1,0,3085,26,3
2,1,24,2,0,31029,31.5,3
3,2,33,1,2,2315,20.575,3
3,2,,1,2,6607,23.45,3
1,1,30,1,0,13236,57.75,1
3,1,18.5,0,0,2682,7.2292,1
3,2,,0,0,342712,8.05,3
3,2,21,0,0,315087,8.6625,3
3,1,25,0,0,345768,9.5,3
3,1,,0,0,1601,56.4958,3
3,1,39,0,1,349256,13.4167,1
1,1,,0,0,113778,26.55,3
3,1,41,0,0,3101263,7.85,3
2,2,30,0,0,237249,13,3
1,2,45,1,0,11753,52.5542,3
3,1,25,0,0,,7.925,3
1,1,45,0,0,17594,29.7,1
3,1,,0,0,370374,7.75,2
1,2,60,0,0,11813,76.2917,1
3,2,36,0,2,37671,15.9,3
1,1,24,1,0,13695,60,3
2,1,27,0,0,2168,15.0333,1
2,2,20,2,1,29105,23,3
1,2,28,3,2,19950,263,3
2,1,,0,0,2861,15.5792,1
3,1,10,4,1,382652,29.125,2
3,1,35,0,0,349230,7.8958,3
3,1,25,0,0,348122,7.65,3
3,1,,1,0,386525,16.1,3
1,2,36,0,0,17608,262.375,1
3,1,17,0,0,349232,7.8958,3
2,1,32,0,0,237216,13.5,3
3,1,18,0,0,347090,7.75,3
3,2,22,0,0,334914,7.725,2
1,1,13,2,2,17608,262.375,1
2,2,,0,0,13534,21,3
3,2,18,0,0,330963,7.8792,2
1,1,47,0,0,113796,42.4,3
1,1,31,0,0,2543,28.5375,1
1,2,60,1,4,19950,263,3
3,2,24,0,0,382653,7.75,2
3,1,21,0,0,349211,7.8958,3
3,2,29,0,0,3101297,7.925,3
1,1,28.5,0,0,17562,27.7208,1
1,2,35,0,0,113503,211.5,1
1,1,32.5,0,0,113503,211.5,1
3,1,,0,0,359306,8.05,3
1,2,55,2,0,11770,25.7,3
2,1,30,0,0,248744,13,3
3,2,24,0,0,368702,7.75,2
3,1,6,1,1,2678,15.2458,1
1,1,67,1,0,17483,221.7792,3
1,1,49,0,0,19924,26,3
3,1,,0,0,349238,7.8958,3
2,1,,0,0,240261,10.7083,2
3,1,,1,0,2660,14.4542,1
3,2,27,0,0,330844,7.8792,2
3,2,18,0,0,31416,8.05,3
3,2,,0,0,364856,7.75,2
2,1,2,1,1,29103,23,3
3,2,22,1,0,347072,13.9,3
3,1,,0,0,345498,7.775,3
1,2,27,1,2,12750,52,3
3,1,,0,0,376563,8.05,3
1,1,25,0,0,13905,26,1
3,1,25,0,0,350033,7.7958,3
1,2,76,1,0,19877,78.85,3
3,1,29,0,0,,7.925,3
3,2,20,0,0,347471,7.8542,3
3,1,33,0,0,3338,8.05,3
1,2,43,1,0,11778,55.4417,1
2,1,27,1,0,228414,26,3
3,1,,0,0,365235,7.75,2
3,1,26,0,0,347070,7.775,3
3,2,16,1,1,2625,8.5167,1
3,1,28,0,0,4001,22.525,3
3,1,21,0,0,330920,7.8208,2
3,1,,0,0,383162,7.75,2
3,1,,0,0,3410,8.7125,3
2,1,18.5,0,0,248734,13,3
2,1,41,0,0,237734,15.0458,1
3,2,,0,0,330968,7.7792,2
1,2,36,0,0,17531,31.6792,1
3,2,18.5,0,0,329944,7.2833,2
1,2,63,1,0,17483,221.7792,3
3,1,18,1,0,2680,14.4542,1
3,1,,0,0,2681,6.4375,1
3,2,1,1,1,9549,16.7,3
1,1,36,0,0,13050,75.2417,1
2,2,29,1,0,29037,26,3
2,2,12,0,0,33595,15.75,3
3,1,,1,0,367227,7.75,2
1,2,35,1,0,13236,57.75,1
3,1,28,0,0,392095,7.25,3
3,1,,0,0,368783,7.75,2
3,2,17,0,1,371362,16.1,3
3,1,22,0,0,350045,7.7958,3
3,2,,2,0,367226,23.25,2
2,1,42,0,0,211535,13,3
3,1,24,0,0,342441,8.05,3
3,1,32,0,0,369943,8.05,3
1,1,53,0,0,113780,28.5,1
3,2,,0,4,4133,25.4667,3
3,1,,1,0,2621,6.4375,1
3,1,43,0,0,349226,7.8958,3
3,1,24,0,0,350409,7.8542,3
3,1,26.5,0,0,2656,7.225,1
2,1,26,0,0,248659,13,3
3,2,23,0,0,392083,8.05,3
3,1,40,1,6,2144,46.9,3
3,2,10,5,2,2144,46.9,3
1,2,33,0,0,113781,151.55,3
1,1,61,1,3,17608,262.375,1
2,1,28,0,0,244358,26,3
1,1,42,0,0,17475,26.55,3
3,1,31,3,0,345763,18,3
1,1,,0,0,17463,51.8625,3
3,1,22,0,0,23568,8.05,3
1,1,,0,0,113791,26.55,3
2,1,30,1,1,250651,26,3
1,2,23,0,1,11767,83.1583,1
3,1,,0,0,349255,7.8958,1
3,1,60.5,0,0,3701,,3
3,2,36,0,2,350405,12.1833,3
3,1,13,4,2,347077,31.3875,3
3,1,24,0,0,752,7.55,3
1,2,29,0,0,17483,221.7792,3
3,2,23,0,0,347469,7.8542,3
1,1,42,0,0,110489,26.55,3
3,2,26,0,2,3101315,13.775,3
3,2,,0,0,335432,7.7333,2
3,1,7,1,1,2650,15.2458,1
2,2,26,0,0,220844,13.5,3
3,1,,0,0,343271,7,3
2,1,41,0,0,237393,13,3
3,2,26,1,1,315153,22.025,3
1,1,48,0,0,17591,50.4958,1
3,1,18,2,2,6608,34.375,3
1,2,,0,0,17770,27.7208,1
3,2,22,0,0,7548,8.9625,3
3,1,,0,0,251,7.55,3
3,1,27,0,0,2670,7.225,1
3,1,23,1,0,347072,13.9,3
3,1,,0,0,2673,7.2292,1
3,1,40,1,5,347077,31.3875,3
2,2,15,0,2,29750,39,3
2,2,20,0,0,33112,36.75,3
1,1,54,1,0,11778,55.4417,1
2,2,36,0,3,230136,39,3
1,2,64,0,2,17756,83.1583,1
2,1,30,0,0,233478,13,3
1,1,37,1,1,17756,83.1583,1
1,2,18,1,0,113773,53.1,3
3,1,,0,0,7935,7.75,2
1,2,27,1,1,17558,247.5208,1
2,1,40,0,0,239059,16,3
2,2,21,0,1,2,21,3
3,1,17,2,0,48873,8.05,3
3,2,,8,2,2343,69.55,3
2,1,40,0,0,28221,13,3
2,1,34,1,0,226875,26,3
1,1,,0,0,111163,26,3
3,1,11.5,1,1,851,14.5,3
2,1,61,0,0,235509,12.35,2
2,1,8,0,2,28220,32.5,3
3,1,33,0,0,347465,7.8542,3
1,1,6,0,2,16966,134.5,1
3,2,18,0,0,347066,7.775,3
2,1,23,0,0,31030,10.5,3
3,2,,0,0,65305,8.1125,3
3,2,,0,0,36568,15.5,2
3,1,0.33,0,2,347080,14.4,3
1,1,47,1,0,17757,227.525,1
2,2,8,1,1,26360,26,3
2,1,25,0,0,34050,10.5,3
1,1,,0,0,12998,25.7417,1
3,2,35,0,0,9232,7.75,2
2,1,24,0,0,28034,10.5,3
1,2,33,0,0,17613,27.7208,1
3,1,25,0,0,349250,7.8958,3
3,1,32,0,0,4001,22.525,3
3,1,,0,0,3101308,7.05,3
2,1,17,0,0,14879,73.5,3
2,2,60,1,0,24065,26,3
3,2,38,4,2,347091,7.775,3
1,1,42,0,0,113038,42.5,3
3,2,,0,0,330924,7.8792,2
1,1,57,1,1,36928,164.8667,3
1,2,50,1,1,113503,211.5,1
3,1,,0,0,32302,8.05,3
2,2,30,1,0,2148,13.8583,1
3,1,21,0,0,342684,8.05,3
2,2,22,0,0,14266,10.5,3
3,1,21,0,0,350053,7.7958,3
1,2,53,0,0,17606,27.4458,1
3,2,,0,2,2661,15.2458,1
3,1,23,0,0,350054,7.7958,3
3,2,,0,0,370368,7.75,2
3,1,40.5,0,0,6212,15.1,3
2,1,36,0,0,242963,13,3
2,1,14,0,0,220845,65,3
1,2,21,0,0,113795,26.55,3
3,1,21,1,0,3101266,6.4958,3
3,1,,0,0,330971,7.8792,2
1,1,39,1,0,17599,71.2833,1
3,1,20,0,0,350416,7.8542,3
1,1,64,1,0,110813,75.25,1
3,1,20,0,0,2679,7.225,1
2,2,18,1,1,250650,13,3
1,2,48,1,0,17761,106.425,1
1,2,55,0,0,112377,27.7208,1
2,2,45,0,2,237789,30,3
1,1,45,1,1,16966,134.5,1
3,1,,0,0,3470,7.8875,3
3,1,,1,2,6607,23.45,3
1,1,41,1,0,17464,51.8625,3
2,2,22,0,0,13534,21,3
2,1,42,1,1,28220,32.5,3
2,2,29,1,0,26707,26,3
3,2,,1,0,2660,14.4542,1
2,2,0.92,1,2,34651,27.75,3
3,1,20,0,0,3101284,7.925,3
1,1,27,1,0,13508,136.7792,1
3,1,24,0,0,7266,9.325,3
3,1,32.5,0,0,345775,9.5,3
3,1,,0,0,42795,7.55,3
3,1,,0,0,3130,7.75,2
3,1,28,0,0,363611,8.05,3
2,2,19,0,0,28404,13,3
3,1,21,0,0,345501,7.775,3
3,1,36.5,1,0,345572,17.4,3
3,1,21,0,0,350410,7.8542,3
2,2,29,0,2,29103,23,3
3,2,1,1,1,350405,12.1833,3
2,1,30,0,0,34644,12.7375,1
3,1,,0,0,349235,7.8958,3
1,1,,0,0,112051,0,3
3,1,,0,0,49867,7.55,3
3,2,,0,0,,8.05,3
3,1,17,0,0,315095,8.6625,3
1,1,46,0,0,13050,75.2417,1
3,1,,0,0,368573,7.75,2
1,2,26,1,0,13508,136.7792,1
3,2,,1,0,370371,15.5,2
3,1,,0,0,2676,7.225,1
2,2,20,1,0,236853,26,3
2,1,28,0,0,14888,10.5,3
2,1,40,1,0,2926,26,3
2,1,30,1,0,31352,21,3
2,1,22,0,0,14260,10.5,3
3,2,23,0,0,315085,8.6625,3
3,1,0.75,1,1,3101315,13.775,3
3,2,,0,0,364859,7.75,2
3,2,9,1,1,2650,15.2458,1
3,2,2,1,1,370129,20.2125,3
3,1,36,0,0,21175,7.25,3
3,1,,0,0,3101314,7.25,3
1,1,24,1,0,21228,82.2667,3
3,1,,0,0,2655,7.2292,1
3,1,,0,0,1478,8.05,3
1,1,,0,0,17607,39.6,3
3,2,30,0,0,382650,6.95,2
3,1,,0,0,2652,7.2292,1
1,1,53,1,1,33638,81.8583,3
3,1,36,0,0,345771,9.5,3
3,1,26,0,0,349202,7.8958,3
2,2,1,1,2,2123,41.5792,1
3,1,,2,0,2662,21.6792,1
1,1,30,0,0,113801,45.5,3
3,1,29,0,0,347467,7.8542,3
3,1,32,0,0,347079,7.775,3
2,1,,0,0,237735,15.0458,1
2,1,43,0,1,2,21,3
3,1,24,0,0,315092,8.6625,3
3,2,,0,0,383123,7.75,2
1,2,64,1,1,112901,26.55,3
1,1,30,1,2,113781,151.55,3
3,1,0.83,0,1,392091,9.35,3
1,1,55,1,1,12749,93.5,3
3,2,45,1,0,350026,14.1083,3
3,1,18,0,0,315091,8.6625,3
3,1,22,0,0,2658,7.225,1
3,1,,0,0,1588,7.575,3
3,2,37,0,0,368364,7.75,2
1,2,55,0,0,17760,135.6333,1
3,2,17,0,0,30631,7.7333,2
1,1,57,1,0,17569,146.5208,1
2,1,19,0,0,28004,10.5,3
3,1,27,0,0,350408,7.8542,3
2,1,22,2,0,31029,31.5,3
3,1,26,0,0,347075,7.775,3
3,1,25,0,0,2654,7.2292,1
2,1,26,0,0,244368,13,3
1,1,33,0,0,113790,26.55,3
1,2,39,0,0,24160,211.3375,3
3,1,23,0,0,3101309,7.05,3
2,2,12,2,1,230136,39,3
1,1,46,0,0,17585,79.2,1
2,1,29,1,0,2003,26,3
2,1,21,0,0,236854,13,3
2,2,48,0,2,33112,36.75,3
1,1,39,0,0,17580,29.7,1
3,1,,0,0,2684,7.225,1
3,2,19,1,1,2653,15.7417,1
3,1,27,0,0,349229,7.8958,3
1,1,30,0,0,110469,26,3
2,1,32,0,0,244360,13,3
3,1,39,0,2,2675,7.2292,1
2,1,25,0,0,31029,31.5,3
3,1,,0,0,2622,7.2292,1
2,1,18,0,0,15185,10.5,3
3,1,32,0,0,350403,7.5792,3
3,1,,1,9,2343,69.55,3
1,2,58,0,1,17755,512.3292,1
3,1,,1,1,851,14.5,3
3,2,16,0,0,348125,7.65,3
2,1,26,0,0,237670,13,3
3,2,38,0,0,2688,7.2292,1
2,1,24,0,0,248726,13.5,3
2,2,31,0,0,13528,21,3
1,2,45,0,1,17759,63.3583,1
2,1,25,0,0,13540,10.5,3
2,1,18,0,0,14879,73.5,3
2,1,49,1,2,220845,65,3
3,2,0.17,1,2,2315,20.575,3
1,1,50,0,0,113044,26,3
1,2,59,2,0,11769,51.4792,3
3,1,,0,0,1222,7.8792,3
3,1,,0,0,368402,7.75,2
3,2,30,1,0,349910,15.55,3
3,1,14.5,8,2,2343,69.55,3
2,2,24,1,1,2079,37.0042,1
2,2,31,0,0,31352,21,3
3,1,27,0,0,315083,8.6625,3
1,2,25,1,0,11765,55.4417,1
3,2,,1,9,2343,69.55,3
3,1,,1,0,2689,14.4583,1
3,2,22,0,0,3101295,39.6875,3
1,2,45,0,1,112378,59.4,1
2,1,29,0,0,2147,13.8583,1
2,1,21,1,0,28133,11.5,3
1,2,31,0,0,16966,134.5,1
1,1,49,0,0,112058,0,3
2,1,44,0,0,248746,13,3
1,2,54,1,1,33638,81.8583,3
1,2,45,0,0,17608,262.375,1
3,2,22,2,0,315152,8.6625,3
2,1,21,0,0,29107,11.5,3
1,1,55,0,0,680,50,3
3,1,5,4,2,347077,31.3875,3
3,1,,0,0,366713,7.75,2
3,1,26,0,0,330910,7.8792,2
3,2,,0,0,364498,14.5,3
3,2,19,1,0,376566,16.1,3
2,1,,0,0,2159,12.875,3
2,2,24,1,2,220845,65,3
3,1,24,0,0,349911,7.775,3
2,1,57,0,0,244346,13,3
3,1,21,0,0,364858,7.75,2
3,1,6,3,1,349909,21.075,3
1,1,23,0,0,12749,93.5,3
1,2,51,0,1,17592,39.4,3
3,1,13,0,2,2673,20.25,3
2,1,47,0,0,30769,10.5,3
3,1,29,3,1,315153,22.025,3
1,2,18,1,0,13695,60,3
3,1,24,0,0,371109,7.25,2
1,2,48,1,1,13567,79.2,1
3,1,22,0,0,347065,7.775,3
3,1,31,0,0,21332,7.7333,2
1,2,30,0,0,36928,164.8667,3
2,1,38,1,0,28664,21,3
1,2,22,0,1,112378,59.4,1
1,1,17,0,0,113059,47.1,3
1,1,43,1,0,17765,27.7208,1
2,1,20,0,0,2166,13.8625,1
2,1,23,1,0,28666,10.5,3
1,1,50,1,1,113503,211.5,1
3,2,,0,0,334915,7.7208,2
3,2,3,1,1,3101315,13.775,3
3,2,,0,0,365237,7.75,2
1,2,37,1,0,19928,90,2
3,2,28,0,0,347086,7.775,3
3,1,,0,0,3236,8.05,3
1,2,39,0,0,17758,108.9,1
3,1,38.5,0,0,3101262,7.25,3
3,1,,0,0,359309,8.05,3
3,1,,1,1,2668,22.3583,1
