Pclass,Name,Sex,Age,Fare,Embarked,Relatives
3,0,0,34.5,7.8292,0,0
3,1,1,47.0,7.0,1,1
2,0,0,62.0,9.6875,0,0
3,0,0,27.0,8.6625,1,0
3,1,1,22.0,12.2875,1,2
3,0,0,14.0,9.225,1,0
3,2,1,30.0,7.6292,0,0
2,0,0,26.0,29.0,1,2
3,1,1,18.0,7.2292,2,0
3,0,0,21.0,24.15,1,2
3,0,0,27.0,7.8958,1,0
1,0,0,46.0,26.0,1,0
1,1,1,23.0,82.2667,1,1
2,0,0,63.0,26.0,1,1
1,1,1,47.0,61.175,1,1
2,1,1,24.0,27.7208,2,1
2,0,0,35.0,12.35,0,0
3,0,0,21.0,7.225,2,0
3,2,1,27.0,7.925,1,1
3,1,1,45.0,7.225,2,0
1,0,0,55.0,59.4,2,1
3,3,0,9.0,3.1708,1,1
1,1,1,27.0,31.6833,1,0
1,0,0,21.0,61.3792,2,1
1,1,1,48.0,262.375,2,4
3,0,0,50.0,14.5,1,1
1,2,1,22.0,61.9792,2,1
3,0,0,22.5,7.225,2,0
1,0,0,41.0,30.5,1,0
3,0,0,27.0,21.6792,2,2
2,0,0,50.0,26.0,1,1
2,0,0,24.0,31.5,1,2
3,1,1,33.0,20.575,1,3
3,1,1,27.0,23.45,1,3
1,0,0,30.0,57.75,2,1
3,0,0,18.5,7.2292,2,0
3,2,1,27.0,8.05,1,0
3,2,1,21.0,8.6625,1,0
3,0,0,25.0,9.5,1,0
3,0,0,27.0,56.4958,1,0
3,0,0,39.0,13.4167,2,1
1,0,0,27.0,26.55,1,0
3,0,0,41.0,7.85,1,0
2,1,1,30.0,13.0,1,0
1,1,1,45.0,52.5542,1,1
3,0,0,25.0,7.925,1,0
1,0,0,45.0,29.7,2,0
3,0,0,27.0,7.75,0,0
1,1,1,60.0,76.2917,2,0
3,1,1,36.0,15.9,1,2
1,0,0,24.0,60.0,1,1
2,0,0,27.0,15.0333,2,0
2,2,1,20.0,23.0,1,3
1,2,1,28.0,263.0,1,5
2,0,0,27.0,15.5792,2,0
3,3,0,10.0,29.125,0,5
3,0,0,35.0,7.8958,1,0
3,0,0,25.0,7.65,1,0
3,0,0,27.0,16.1,1,1
1,2,1,36.0,262.375,2,0
3,0,0,17.0,7.8958,1,0
2,0,0,32.0,13.5,1,0
3,0,0,18.0,7.75,1,0
3,2,1,22.0,7.725,0,0
1,3,0,13.0,262.375,2,4
2,1,1,27.0,21.0,1,0
3,2,1,18.0,7.8792,0,0
1,0,0,47.0,42.4,1,0
1,0,0,31.0,28.5375,2,0
1,1,1,60.0,263.0,1,5
3,2,1,24.0,7.75,0,0
3,0,0,21.0,7.8958,1,0
3,2,1,29.0,7.925,1,0
1,0,0,28.5,27.7208,2,0
1,2,1,35.0,211.5,2,0
1,0,0,32.5,211.5,2,0
3,0,0,27.0,8.05,1,0
1,1,1,55.0,25.7,1,2
2,0,0,30.0,13.0,1,0
3,2,1,24.0,7.75,0,0
3,3,0,6.0,15.2458,2,2
1,0,0,67.0,221.7792,1,1
1,0,0,49.0,26.0,1,0
3,0,0,27.0,7.8958,1,0
2,0,0,27.0,10.7083,0,0
3,0,0,27.0,14.4542,2,1
3,2,1,27.0,7.8792,0,0
3,2,1,18.0,8.05,1,0
3,4,1,27.0,7.75,0,0
2,3,0,2.0,23.0,1,2
3,1,1,22.0,13.9,1,1
3,0,0,27.0,7.775,1,0
1,1,1,27.0,52.0,1,3
3,0,0,27.0,8.05,1,0
1,0,0,25.0,26.0,2,0
3,0,0,25.0,7.7958,1,0
1,1,1,76.0,78.85,1,1
3,0,0,29.0,7.925,1,0
3,2,1,20.0,7.8542,1,0
3,0,0,33.0,8.05,1,0
1,1,1,43.0,55.4417,2,1
2,0,0,27.0,26.0,1,1
3,0,0,27.0,7.75,0,0
3,0,0,26.0,7.775,1,0
3,1,1,16.0,8.5167,2,2
3,0,0,28.0,22.525,1,0
3,0,0,21.0,7.8208,0,0
3,0,0,27.0,7.75,0,0
3,0,0,27.0,8.7125,1,0
2,0,0,18.5,13.0,1,0
2,0,0,41.0,15.0458,2,0
3,2,1,27.0,7.7792,0,0
1,2,1,36.0,31.6792,2,0
3,2,1,18.5,7.2833,0,0
1,1,1,63.0,221.7792,1,1
3,0,0,18.0,14.4542,2,1
3,0,0,27.0,6.4375,2,0
3,2,1,1.0,16.7,1,2
1,0,0,36.0,75.2417,2,0
2,1,1,29.0,26.0,1,1
2,2,1,12.0,15.75,1,0
3,0,0,27.0,7.75,0,1
1,1,1,35.0,57.75,2,1
3,0,0,28.0,7.25,1,0
3,0,0,27.0,7.75,0,0
3,2,1,17.0,16.1,1,1
3,0,0,22.0,7.7958,1,0
3,2,1,27.0,23.25,0,2
2,0,0,42.0,13.0,1,0
3,0,0,24.0,8.05,1,0
3,0,0,32.0,8.05,1,0
1,5,0,53.0,28.5,2,0
3,1,1,27.0,25.4667,1,4
3,0,0,27.0,6.4375,2,1
3,0,0,43.0,7.8958,1,0
3,0,0,24.0,7.8542,1,0
3,0,0,26.5,7.225,2,0
2,0,0,26.0,13.0,1,0
3,2,1,23.0,8.05,1,0
3,0,0,40.0,46.9,1,7
3,2,1,10.0,46.9,1,7
1,2,1,33.0,151.55,1,0
1,0,0,61.0,262.375,2,4
2,0,0,28.0,26.0,1,0
1,0,0,42.0,26.55,1,0
3,0,0,31.0,18.0,1,3
1,0,0,27.0,51.8625,1,0
3,0,0,22.0,8.05,1,0
1,0,0,27.0,26.55,1,0
2,6,0,30.0,26.0,1,2
1,1,1,23.0,83.1583,2,1
3,0,0,27.0,7.8958,2,0
3,0,0,60.5,14.4542,1,0
3,1,1,36.0,12.1833,1,2
3,3,0,13.0,31.3875,1,6
3,0,0,24.0,7.55,1,0
1,2,1,29.0,221.7792,1,0
3,2,1,23.0,7.8542,1,0
1,0,0,42.0,26.55,1,0
3,1,1,26.0,13.775,1,2
3,2,1,27.0,7.7333,0,0
3,3,0,7.0,15.2458,2,2
2,2,1,26.0,13.5,1,0
3,0,0,27.0,7.0,1,0
2,6,0,41.0,13.0,1,0
3,1,1,26.0,22.025,1,2
1,0,0,48.0,50.4958,2,0
3,0,0,18.0,34.375,1,4
1,1,1,27.0,27.7208,2,0
3,2,1,22.0,8.9625,1,0
3,0,0,27.0,7.55,1,0
3,0,0,27.0,7.225,2,0
3,0,0,23.0,13.9,1,1
3,0,0,27.0,7.2292,2,0
3,0,0,40.0,31.3875,1,6
2,2,1,15.0,39.0,1,2
2,2,1,20.0,36.75,1,0
1,0,0,54.0,55.4417,2,1
2,1,1,36.0,39.0,1,3
1,1,1,64.0,83.1583,2,2
2,0,0,30.0,13.0,1,0
1,0,0,37.0,83.1583,2,2
1,1,1,18.0,53.1,1,1
3,0,0,27.0,7.75,0,0
1,1,1,27.0,247.5208,2,2
2,0,0,40.0,16.0,1,0
2,2,1,21.0,21.0,1,1
3,0,0,17.0,8.05,1,2
3,2,1,27.0,69.55,1,10
2,0,0,40.0,13.0,1,0
2,0,0,34.0,26.0,1,1
1,0,0,27.0,26.0,1,0
3,3,0,11.5,14.5,1,2
2,0,0,61.0,12.35,0,0
2,3,0,8.0,32.5,1,2
3,0,0,33.0,7.8542,1,0
1,3,0,6.0,134.5,2,2
3,2,1,18.0,7.775,1,0
2,0,0,23.0,10.5,1,0
3,1,1,27.0,8.1125,1,0
3,2,1,27.0,15.5,0,0
3,3,0,0.33,14.4,1,2
1,5,0,47.0,227.525,2,1
2,2,1,8.0,26.0,1,2
2,0,0,25.0,10.5,1,0
1,0,0,27.0,25.7417,2,0
3,2,1,35.0,7.75,0,0
2,0,0,24.0,10.5,1,0
1,2,1,33.0,27.7208,2,0
3,0,0,25.0,7.8958,1,0
3,0,0,32.0,22.525,1,0
3,0,0,27.0,7.05,1,0
2,0,0,17.0,73.5,1,0
2,1,1,60.0,26.0,1,1
3,2,1,38.0,7.775,1,6
1,0,0,42.0,42.5,1,0
3,2,1,27.0,7.8792,0,0
1,0,0,57.0,164.8667,1,2
1,1,1,50.0,211.5,2,2
3,0,0,27.0,8.05,1,0
2,2,1,30.0,13.8583,2,1
3,0,0,21.0,8.05,1,0
2,1,1,22.0,10.5,1,0
3,0,0,21.0,7.7958,1,0
1,1,1,53.0,27.4458,2,0
3,1,1,27.0,15.2458,2,2
3,0,0,23.0,7.7958,1,0
3,2,1,27.0,7.75,0,0
3,0,0,40.5,15.1,1,0
2,0,0,36.0,13.0,1,0
2,0,0,14.0,65.0,1,0
1,2,1,21.0,26.55,1,0
3,0,0,21.0,6.4958,1,1
3,0,0,27.0,7.8792,0,0
1,0,0,39.0,71.2833,2,1
3,0,0,20.0,7.8542,1,0
1,0,0,64.0,75.25,2,1
3,0,0,20.0,7.225,2,0
2,2,1,18.0,13.0,1,2
1,1,1,48.0,106.425,2,1
1,1,1,55.0,27.7208,2,0
2,1,1,45.0,30.0,1,2
1,0,0,45.0,134.5,2,2
3,0,0,27.0,7.8875,1,0
3,3,0,27.0,23.45,1,3
1,0,0,41.0,51.8625,1,1
2,1,1,22.0,21.0,1,0
2,0,0,42.0,32.5,1,2
2,1,1,29.0,26.0,1,1
3,1,1,27.0,14.4542,2,1
2,2,1,0.92,27.75,1,3
3,0,0,20.0,7.925,1,0
1,0,0,27.0,136.7792,2,1
3,0,0,24.0,9.325,1,0
3,0,0,32.5,9.5,1,0
3,0,0,27.0,7.55,1,0
3,0,0,27.0,7.75,0,0
3,0,0,28.0,8.05,1,0
2,2,1,19.0,13.0,1,0
3,0,0,21.0,7.775,1,0
3,0,0,36.5,17.4,1,1
3,0,0,21.0,7.8542,1,0
2,1,1,29.0,23.0,1,2
3,2,1,1.0,12.1833,1,2
2,0,0,30.0,12.7375,2,0
3,0,0,27.0,7.8958,1,0
1,0,0,27.0,0.0,1,0
3,0,0,27.0,7.55,1,0
3,2,1,27.0,8.05,1,0
3,0,0,17.0,8.6625,1,0
1,0,0,46.0,75.2417,2,0
3,0,0,27.0,7.75,0,0
1,1,1,26.0,136.7792,2,1
3,2,1,27.0,15.5,0,1
3,0,0,27.0,7.225,2,0
2,2,1,20.0,26.0,1,1
2,0,0,28.0,10.5,1,0
2,0,0,40.0,26.0,1,1
2,0,0,30.0,21.0,1,1
2,0,0,22.0,10.5,1,0
3,2,1,23.0,8.6625,1,0
3,3,0,0.75,13.775,1,2
3,2,1,27.0,7.75,0,0
3,2,1,9.0,15.2458,2,2
3,2,1,2.0,20.2125,1,2
3,0,0,36.0,7.25,1,0
3,0,0,27.0,7.25,1,0
1,0,0,24.0,82.2667,1,1
3,0,0,27.0,7.2292,2,0
3,0,0,27.0,8.05,1,0
1,0,0,27.0,39.6,1,0
3,2,1,30.0,6.95,0,0
3,0,0,27.0,7.2292,2,0
1,7,0,53.0,81.8583,1,2
3,0,0,36.0,9.5,1,0
3,0,0,26.0,7.8958,1,0
2,2,1,1.0,41.5792,2,3
3,0,0,27.0,21.6792,2,2
1,0,0,30.0,45.5,1,0
3,0,0,29.0,7.8542,1,0
3,0,0,32.0,7.775,1,0
2,0,0,27.0,15.0458,2,0
2,0,0,43.0,21.0,1,1
3,0,0,24.0,8.6625,1,0
3,2,1,27.0,7.75,0,0
1,1,1,64.0,26.55,1,2
1,0,0,30.0,151.55,1,3
3,3,0,0.83,9.35,1,1
1,0,0,55.0,93.5,1,2
3,1,1,45.0,14.1083,1,1
3,0,0,18.0,8.6625,1,0
3,0,0,22.0,7.225,2,0
3,0,0,27.0,7.575,1,0
3,2,1,37.0,7.75,0,0
1,1,1,55.0,135.6333,2,0
3,2,1,17.0,7.7333,0,0
1,0,0,57.0,146.5208,2,1
2,0,0,19.0,10.5,1,0
3,0,0,27.0,7.8542,1,0
2,0,0,22.0,31.5,1,2
3,0,0,26.0,7.775,1,0
3,0,0,25.0,7.2292,2,0
2,0,0,26.0,13.0,1,0
1,0,0,33.0,26.55,1,0
1,2,1,39.0,211.3375,1,0
3,0,0,23.0,7.05,1,0
2,2,1,12.0,39.0,1,3
1,0,0,46.0,79.2,2,0
2,0,0,29.0,26.0,1,1
2,0,0,21.0,13.0,1,0
2,1,1,48.0,36.75,1,2
1,0,0,39.0,29.7,2,0
3,0,0,27.0,7.225,2,0
3,1,1,19.0,15.7417,2,2
3,0,0,27.0,7.8958,1,0
1,0,0,30.0,26.0,1,0
2,0,0,32.0,13.0,1,0
3,0,0,39.0,7.2292,2,2
2,0,0,25.0,31.5,1,0
3,3,0,27.0,7.2292,2,0
2,0,0,18.0,10.5,1,0
3,0,0,32.0,7.5792,1,0
3,0,0,27.0,69.55,1,10
1,1,1,58.0,512.3292,2,1
3,3,0,27.0,14.5,1,2
3,2,1,16.0,7.65,1,0
2,0,0,26.0,13.0,1,0
3,1,1,38.0,7.2292,2,0
2,0,0,24.0,13.5,1,0
2,2,1,31.0,21.0,1,0
1,1,1,45.0,63.3583,2,1
2,0,0,25.0,10.5,1,0
2,0,0,18.0,73.5,1,0
2,0,0,49.0,65.0,1,3
3,2,1,0.17,20.575,1,3
1,0,0,50.0,26.0,1,0
1,1,1,59.0,51.4792,1,2
3,0,0,27.0,7.8792,1,0
3,0,0,27.0,7.75,0,0
3,1,1,30.0,15.55,1,1
3,3,0,14.5,69.55,1,10
2,1,1,24.0,37.0042,2,2
2,1,1,31.0,21.0,1,0
3,0,0,27.0,8.6625,1,0
1,1,1,25.0,55.4417,2,1
3,1,1,27.0,69.55,1,10
3,0,0,27.0,14.4583,2,1
3,2,1,22.0,39.6875,1,0
1,1,1,45.0,59.4,2,1
2,0,0,29.0,13.8583,2,0
2,0,0,21.0,11.5,1,1
1,2,1,31.0,134.5,2,0
1,0,0,49.0,0.0,1,0
2,0,0,44.0,13.0,1,0
1,1,1,54.0,81.8583,1,2
1,2,1,45.0,262.375,2,0
3,2,1,22.0,8.6625,1,2
2,0,0,21.0,11.5,1,0
1,0,0,55.0,50.0,1,0
3,3,0,5.0,31.3875,1,6
3,0,0,27.0,7.75,0,0
3,0,0,26.0,7.8792,0,0
3,1,1,27.0,14.5,1,0
3,1,1,19.0,16.1,1,1
2,0,0,27.0,12.875,1,0
2,2,1,24.0,65.0,1,3
3,0,0,24.0,7.775,1,0
2,0,0,57.0,13.0,1,0
3,0,0,21.0,7.75,0,0
3,3,0,6.0,21.075,1,4
1,0,0,23.0,93.5,1,0
1,1,1,51.0,39.4,1,1
3,3,0,13.0,20.25,1,2
2,0,0,47.0,10.5,1,0
3,0,0,29.0,22.025,1,4
1,1,1,18.0,60.0,1,1
3,0,0,24.0,7.25,0,0
1,1,1,48.0,79.2,2,2
3,0,0,22.0,7.775,1,0
3,0,0,31.0,7.7333,0,0
1,2,1,30.0,164.8667,1,0
2,0,0,38.0,21.0,1,1
1,2,1,22.0,59.4,2,1
1,0,0,17.0,47.1,1,0
1,0,0,43.0,27.7208,2,1
2,0,0,20.0,13.8625,2,0
2,0,0,23.0,10.5,1,1
1,0,0,50.0,211.5,2,2
3,2,1,27.0,7.7208,0,0
3,2,1,3.0,13.775,1,2
3,2,1,27.0,7.75,0,0
1,1,1,37.0,90.0,0,1
3,2,1,28.0,7.775,1,0
3,0,0,27.0,8.05,1,0
1,8,1,39.0,108.9,2,0
3,0,0,38.5,7.25,1,0
3,0,0,27.0,8.05,1,0
3,3,0,27.0,22.3583,2,2
